"시점","상품군별(1)",인터넷쇼핑,모바일쇼핑
"2019.01","의복",453476,653845
"2019.01","신발",57560,102086
"2019.01","화장품",328732,572616
"2019.01","음·식료품",397250,796103
"2019.01","농축수산물",143447,269825
"2019.01","생활용품",274481,557289
"2019.01","여행 및 교통서비스",634258,904380
"2019.01","문화 및 레저서비스",68836,98877
"2019.01","음식서비스",53351,568558
"2019.02","의복",384783,574960
"2019.02","신발",53174,103257
"2019.02","화장품",301601,561471
"2019.02","음·식료품",274273,593161
"2019.02","농축수산물",66686,164432
"2019.02","생활용품",239248,496403
"2019.02","여행 및 교통서비스",587030,830402
"2019.02","문화 및 레저서비스",69543,113392
"2019.02","음식서비스",48759,566204
"2019.03","의복",467275,770960
"2019.03","신발",75702,131109
"2019.03","화장품",416273,609446
"2019.03","음·식료품",330978,696293
"2019.03","농축수산물",85583,192821
"2019.03","생활용품",290887,578305
"2019.03","여행 및 교통서비스",581118,798643
"2019.03","문화 및 레저서비스",73468,102617
"2019.03","음식서비스",54675,639833
"2019.04","의복",464610,739473
"2019.04","신발",78125,126046
"2019.04","화장품",384095,579626
"2019.04","음·식료품",348841,710012
"2019.04","농축수산물",90963,195328
"2019.04","생활용품",294143,527740
"2019.04","여행 및 교통서비스",586949,808109
"2019.04","문화 및 레저서비스",94922,105113
"2019.04","음식서비스",49084,637236
"2019.05","의복",500106,778175
"2019.05","신발",84205,133233
"2019.05","화장품",396828,593608
"2019.05","음·식료품",364339,747270
"2019.05","농축수산물",88609,196679
"2019.05","생활용품",296296,565994
"2019.05","여행 및 교통서비스",614613,875280
"2019.05","문화 및 레저서비스",100869,103309
"2019.05","음식서비스",49857,692525
"2019.06","의복",440260,693361
"2019.06","신발",84744,126674
"2019.06","화장품",375254,569708
"2019.06","음·식료품",336297,703854
"2019.06","농축수산물",79003,190836
"2019.06","생활용품",267664,544587
"2019.06","여행 및 교통서비스",612674,871038
"2019.06","문화 및 레저서비스",110917,137409
"2019.06","음식서비스",52192,722286
"2019.07","의복",457448,682223
"2019.07","신발",77272,127793
"2019.07","화장품",397100,589441
