"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20250222","우이신설선","4.19민주묘지","2667","2307","20250225"
"20250222","경원선","가능","5429","5127","20250225"
"20250222","3호선","가락시장","7534","7343","20250225"
"20250222","8호선","가락시장","7041","7258","20250225"
"20250222","7호선","가산디지털단지","14591","13734","20250225"
"20250222","경부선","가산디지털단지","8065","9185","20250225"
"20250222","9호선","가양","16530","16032","20250225"
"20250222","우이신설선","가오리","3589","3387","20250225"
"20250222","경의선","가좌","4835","4727","20250225"
"20250222","분당선","가천대","5638","5586","20250225"
"20250222","경춘선","가평","1956","1905","20250225"
"20250222","경인선","간석","4902","4583","20250225"
"20250222","경춘선","갈매","1955","1704","20250225"
"20250222","2호선","강남","67302","66202","20250225"
"20250222","분당선","강남구청","6122","7530","20250225"
"20250222","7호선","강남구청","11988","13207","20250225"
"20250222","5호선","강동","15520","14807","20250225"
"20250222","8호선","강동구청","7507","7373","20250225"
"20250222","경의선","강매","2245","2073","20250225"
"20250222","2호선","강변(동서울터미널)","29191","27166","20250225"
"20250222","5호선","강일","4742","4149","20250225"
"20250222","경춘선","강촌","528","520","20250225"
"20250222","5호선","개롱","5360","5368","20250225"
"20250222","경인선","개봉","18814","18191","20250225"
"20250222","분당선","개포동","3377","3374","20250225"
"20250222","9호선","개화","1595","1236","20250225"
"20250222","5호선","개화산","4738","4419","20250225"
"20250222","5호선","거여","7505","6995","20250225"
"20250222","2호선","건대입구","37896","40963","20250225"
"20250222","7호선","건대입구","12682","13286","20250225"
"20250222","공항철도 1호선","검암","5065","4996","20250225"
"20250222","경강선","경기광주","5987","5699","20250225"
"20250222","과천선","경마공원","11452","11467","20250225"
"20250222","3호선","경복궁(정부서울청사)","30093","29742","20250225"
"20250222","3호선","경찰병원","4848","4848","20250225"
"20250222","공항철도 1호선","계양","10682","10186","20250225"
"20250222","5호선","고덕","7449","7136","20250225"
"20250222","6호선","고려대(종암)","7499","7666","20250225"
"20250222","수인선","고색","3387","3408","20250225"
"20250222","3호선","고속터미널","64312","61903","20250225"
"20250222","9호선","고속터미널","16856","25250","20250225"
"20250222","7호선","고속터미널","19231","14302","20250225"
"20250222","안산선","고잔","10071","10460","20250225"
"20250222","경의선","곡산","415","451","20250225"
"20250222","경강선","곤지암","2211","1927","20250225"
"20250222","경의선","공덕","3757","2650","20250225"
"20250222","공항철도 1호선","공덕","2512","3979","20250225"
"20250222","6호선","공덕","13482","13026","20250225"
"20250222","5호선","공덕","9496","9893","20250225"
"20250222","7호선","공릉(서울과학기술대)","9832","9652","20250225"
"20250222","9호선","공항시장","2556","2594","20250225"
"20250222","공항철도 1호선","공항화물청사","1170","1784","20250225"
"20250222","과천선","과천","5681","5145","20250225"
"20250222","경부선","관악","6137","5930","20250225"
"20250222","신림선","관악산(서울대)","2804","2776","20250225"
"20250222","5호선","광나루(장신대)","9791","9504","20250225"
"20250222","경부선","광명","3839","3180","20250225"
"20250222","7호선","광명사거리","18511","18630","20250225"
"20250222","경원선","광운대","7172","6998","20250225"
"20250222","5호선","광화문(세종문화회관)","31999","31927","20250225"
"20250222","6호선","광흥창(서강)","6421","6158","20250225"
"20250222","2호선","교대(법원.검찰청)","18137","22806","20250225"
"20250222","3호선","교대(법원.검찰청)","11207","5497","20250225"
"20250222","경부선","구로","16062","17107","20250225"
"20250222","2호선","구로디지털단지","41269","40270","20250225"
"20250222","분당선","구룡","2819","2644","20250225"
"20250222","중앙선","구리","7319","7888","20250225"
"20250222","9호선","구반포","1322","1207","20250225"
"20250222","6호선","구산","6891","5146","20250225"
"20250222","분당선","구성","5367","5672","20250225"
"20250222","2호선","구의(광진구청)","20510","19535","20250225"
"20250222","경인선","구일","5170","4789","20250225"
"20250222","3호선","구파발","18101","18146","20250225"
"20250222","중앙선","국수","566","602","20250225"
"20250222","9호선","국회의사당","8082","8316","20250225"
"20250222","5호선","군자(능동)","10524","11611","20250225"
"20250222","7호선","군자(능동)","12555","9337","20250225"
"20250222","경부선","군포","4693","4315","20250225"
"20250222","경춘선","굴봉산","91","156","20250225"
"20250222","5호선","굽은다리(강동구민회관앞)","8922","8218","20250225"
"20250222","경춘선","금곡","1158","1091","20250225"
"20250222","경의선","금릉","4246","4095","20250225"
"20250222","경부선","금정","22563","22266","20250225"
"20250222","경부선","금천구청","8822","8803","20250225"
"20250222","경의선","금촌","6216","5786","20250225"
"20250222","3호선","금호","6641","6264","20250225"
"20250222","분당선","기흥","8178","7273","20250225"
"20250222","5호선","길동","7691","7668","20250225"
"20250222","4호선","길음","17290","17079","20250225"
"20250222","경춘선","김유정","533","585","20250225"
"20250222","서해선","김포공항","2809","4138","20250225"
"20250222","공항철도 1호선","김포공항","7883","4520","20250225"
"20250222","5호선","김포공항","12002","7717","20250225"
"20250222","9호선","김포공항","5572","10391","20250225"
"20250222","5호선","까치산","22909","21672","20250225"
"20250222","2호선","낙성대(강감찬)","23388","21649","20250225"
"20250222","7호선","남구로","8943","9408","20250225"
"20250222","수인선","남동인더스파크","993","978","20250225"
"20250222","3호선","남부터미널(예술의전당)","28886","28767","20250225"
"20250222","7호선","남성","8791","8144","20250225"
"20250222","경부선","남영","7576","7903","20250225"
"20250222","8호선","남위례","5571","5618","20250225"
"20250222","경춘선","남춘천","4047","4010","20250225"
"20250222","4호선","남태령","1399","795","20250225"
"20250222","8호선","남한산성입구(성남법원.검찰청)","9793","8427","20250225"
"20250222","7호선","내방","9377","9218","20250225"
"20250222","9호선","노들","3758","3182","20250225"
"20250222","9호선","노량진","23925","23466","20250225"
"20250222","경부선","노량진","10027","9992","20250225"
"20250222","7호선","노원","18132","18564","20250225"
"20250222","4호선","노원","19829","21868","20250225"
"20250222","3호선","녹번","11814","10545","20250225"
"20250222","6호선","녹사평(용산구청)","5486","6238","20250225"
"20250222","경원선","녹양","3924","3596","20250225"
"20250222","경원선","녹천","3248","2831","20250225"
"20250222","7호선","논현","12172","13647","20250225"
"20250222","경의선","능곡","3820","3768","20250225"
"20250222","8호선","단대오거리","9578","8830","20250225"
"20250222","수인선","달월","49","45","20250225"
"20250222","5호선","답십리","12309","10995","20250225"
"20250222","4호선","당고개","8467","7908","20250225"
"20250222","신림선","당곡","4006","3713","20250225"
"20250222","9호선","당산","15652","14440","20250225"
"20250222","2호선","당산","15080","15985","20250225"
"20250222","경부선","당정","4577","4297","20250225"
"20250222","일산선","대곡","8217","7951","20250225"
"20250222","과천선","대공원","5665","5797","20250225"
"20250222","2호선","대림(구로구청)","21521","21742","20250225"
"20250222","7호선","대림(구로구청)","8603","9136","20250225"
"20250222","분당선","대모산입구","4151","3934","20250225"
"20250222","경부선","대방","7102","8136","20250225"
"20250222","신림선","대방","3054","2144","20250225"
"20250222","경춘선","대성리","709","843","20250225"
"20250222","안산선","대야미","4397","3764","20250225"
"20250222","3호선","대청","7415","7131","20250225"
"20250222","3호선","대치","11961","10656","20250225"
"20250222","일산선","대화","9051","8194","20250225"
"20250222","6호선","대흥(서강대앞)","6879","6963","20250225"
"20250222","경원선","덕계","5125","4731","20250225"
"20250222","중앙선","덕소","4788","4705","20250225"
"20250222","경원선","덕정","5276","4850","20250225"
